x,acc/train,loss/train,loss/test,acc/test
0,0,,,0
1,26.72800064,800.5380249,146.3504486,38.59999847
2,38.9280014,658.3793945,122.4556122,47.34999847
3,45.26800156,586.0695801,107.2542953,51.79999924
4,48.69599915,550.5765991,102.190094,54.65000153
5,51.69200134,522.6143799,93.75562286,58.06000137
6,53.18000031,506.0635376,95.65229797,58.02999878
7,54.40000153,494.2210388,91.70562744,59.09000015
8,55.99000168,480.6694336,90.15694427,59.93999863
9,56.72800064,472.4212341,86.90974426,61.95999908
10,57.80199814,461.5899963,85.1563797,62.27000046
11,58.43600082,455.3001709,86.14491272,62.65000153
12,58.82400131,449.4275818,83.89678955,63.75
13,59.34999847,446.1627502,82.87374878,63.63999939
14,59.94400024,440.4785461,82.6238327,64.23000336
15,60.24000168,435.0272522,82.0187912,64.30999756
16,60.80799866,430.2080383,80.53446198,65.01000214
17,60.98199844,428.3180847,81.04602814,65.22000122
18,61.19200134,425.1111755,78.64056396,65.86000061
19,61.50799942,421.8900452,79.6484375,65.62999725
20,62.13600159,418.5423584,78.27437592,66.45999908
21,62.0379982,417.7329102,77.85461426,66.68000031
22,62.42399979,414.4208374,78.70657349,66.45999908
23,62.67399979,413.0757751,77.53773499,66.66999817
24,62.60800171,409.2972412,78.18660736,66.62999725
25,62.83599854,409.235321,77.53192902,67.02999878
26,62.85200119,408.5930176,77.63009644,67.04000092
27,63.11600113,407.1252136,77.66750336,66.69999695
28,63.13600159,404.868103,77.52233124,67.08999634
29,63.45199966,401.3649597,76.8631134,67.41999817
30,63.43399811,403.8552246,77.10308075,67.36000061
31,63.39199829,402.1054993,75.94412231,67.62999725
32,63.43999863,402.2724915,77.02481079,67.19999695
33,63.49000168,401.4795532,77.04620361,67.44999695
34,63.88800049,401.1972046,76.87725067,67.37999725
35,63.72399902,399.7164001,76.62682343,67.36000061
36,63.66600037,399.0491028,76.73834991,67.44999695
37,63.68199921,399.736084,76.74121857,67.45999908
38,63.59400177,399.8417358,76.62497711,67.56999969
39,64.1740036,396.4020081,75.98119354,67.70999908
40,63.9659996,398.5814514,76.60408783,67.58999634
41,64.0759964,396.603302,76.63464355,67.54000092
42,63.7140007,397.1376038,76.56080627,67.58000183
43,63.94599915,396.4001465,76.5359726,67.51999664
44,64.11799622,395.090271,76.14048004,67.55000305
45,63.58200073,396.9190979,76.71925354,67.56999969
46,64.0719986,396.1932983,76.72260284,67.55000305
47,64.05599976,396.9649048,76.17782593,67.81999969
48,64.04199982,395.8256226,76.02397919,67.73000336
49,64.56600189,393.0045471,76.19670868,67.76000214
50,64.16200256,393.8193359,76.35012817,67.63999939
51,64.31999969,394.1198425,76.17887878,67.75
52,64.12799835,395.9563293,76.30652618,67.76000214
53,63.99000168,396.6318359,76.33739471,67.69999695
