x,acc/train,loss/train,loss/test,acc/test
0,0,,,0
1,22.7140007,839.2233276,142.0098724,35.22999954
2,36.1780014,684.8928223,123.5607147,44.72000122
3,42.93999863,614.9411621,110.1673279,50.06000137
4,47.02600098,570.222168,100.9072876,53.52999878
5,49.49200058,544.8203125,99.38104248,55.27000046
6,51.50600052,526.7340088,95.88137054,56.99000168
7,52.5340004,514.5237427,91.21309662,58.88999939
8,53.67599869,502.3404236,91.14022064,58.97999954
9,54.50999832,493.2091064,90.44245911,60.02999878
10,55.7879982,486.7019653,87.87444305,60.61999893
11,56.13999939,480.0496826,87.28432465,61.34000015
12,56.76599884,473.1822815,88.97745514,60.20000076
13,57.10800171,470.5908203,85.30813599,61.93999863
14,57.37200165,466.7364502,85.15391541,62.02000046
15,57.69599915,459.9946594,83.09750366,63.33000183
16,58.15000153,456.8275452,84.61936188,62.70000076
17,58.58800125,454.0181885,81.50018311,63.84999847
18,58.84799957,451.4806213,81.27656555,64.11000061
19,59.09600067,449.6834106,81.62069702,64.12000275
20,59.18000031,448.4131775,81.27291107,64.41999817
21,59.60400009,444.3382568,81.57419586,64.40000153
22,59.69800186,442.7644348,80.44712067,64.48000336
23,60.04800034,440.0194702,80.74064636,64.26999664
24,59.95999908,439.3094482,80.43883514,64.80000305
25,60.47999954,435.9972229,79.50306702,65.01000214
26,60.2820015,436.8295593,79.76958466,64.94999695
27,60.52000046,435.0303345,79.99623871,65.05000305
28,60.64799881,433.1747437,79.5022583,65.05000305
29,60.87799835,431.4375,79.52407074,65.33999634
30,60.7820015,433.3178406,79.74326324,65.12999725
31,60.5320015,431.5099487,79.55400848,65.33000183
32,60.83000183,431.987854,80.00231171,65.16999817
33,61.02799988,429.4877319,79.94900513,65.26999664
34,60.95399857,429.0620117,79.24546814,65.33999634
35,61.06999969,428.8454895,79.20915222,65.55000305
36,60.94400024,430.057312,79.34191132,65.43000031
37,60.98799896,427.0150146,78.84118652,65.66000366
38,60.84999847,429.5705566,79.13843536,65.58000183
39,61.11399841,428.0914612,78.30997467,65.83000183
40,61.45000076,426.6818542,78.6845932,65.83000183
41,61.15800095,427.2485962,79.04233551,65.61000061
42,61.29399872,426.7384338,78.83491516,65.72000122
43,61.30199814,426.6914063,78.53379822,65.77999878
44,61.32600021,425.9301758,79.00098419,65.66999817
45,61.27999878,426.359314,78.68187714,65.81999969
46,60.88199997,428.1907043,78.61428833,65.79000092
47,61.31000137,425.344635,78.57471466,65.83000183
48,61.34400177,426.1235352,78.66531372,65.76999664
49,61.22999954,424.8462524,78.56159973,65.84999847
50,61.34999847,425.736145,78.47405243,66.02999878
51,61.42599869,425.0560608,78.5352478,65.87000275
52,61.29199982,425.535614,78.61545563,65.93000031
53,61.47000122,423.1801453,78.53448486,65.80000305
